system_time,id,workstation_name,target_username,source_ip,logon_type
2021-06-16 01:12:54,4624,"""172.16.44.102""","""Administrator""","""172.16.21.100""",network (type 3)
2021-06-16 01:12:57,4624,"""EC2AMAZ-37OM3IA""","""Administrator""","""172.16.21.100""",rdp (type 10)
2021-06-16 02:38:39,4624,"""172.16.44.102""","""Administrator""","""172.16.21.100""",network (type 3)
2021-06-16 02:38:41,4624,"""EC2AMAZ-37OM3IA""","""Administrator""","""172.16.21.100""",rdp (type 10)
2021-06-28 00:23:22,4624,"""timekeeper""","""Administrator""","""172.16.21.100""",network (type 3)
2021-06-28 00:23:24,4624,"""EC2AMAZ-37OM3IA""","""Administrator""","""172.16.21.100""",rdp (type 10)
2021-06-28 01:40:51,4624,"""EC2AMAZ-C831NP5""","""CaptainMarvel""","""172.16.44.101""",network (type 3)
2021-06-29 20:57:26,4624,"""EC2AMAZ-C831NP5""","""Administrator""","""172.16.44.101""",network (type 3)
2021-06-29 20:57:47,4624,"""EC2AMAZ-C831NP5""","""Administrator""","""172.16.44.101""",network (type 3)
2021-06-29 21:04:32,4624,"""timekeeper""","""Administrator""","""172.16.21.100""",network (type 3)
2021-06-29 21:04:34,4624,"""EC2AMAZ-37OM3IA""","""Administrator""","""172.16.21.100""",rdp (type 10)
2021-06-29 21:05:19,4624,"""EC2AMAZ-C831NP5""","""Administrator""","""172.16.44.101""",network (type 3)
2021-06-29 21:05:19,4624,"""EC2AMAZ-C831NP5""","""Administrator""","""172.16.44.101""",network (type 3)
2021-06-29 21:05:19,4624,"""EC2AMAZ-C831NP5""","""Administrator""","""172.16.44.101""",network (type 3)
2021-06-29 21:05:58,4624,"""EC2AMAZ-C831NP5""","""Administrator""","""172.16.44.101""",network (type 3)
2021-06-29 21:05:58,4624,"""EC2AMAZ-C831NP5""","""Administrator""","""172.16.44.101""",network (type 3)
2021-06-29 21:05:58,4624,"""EC2AMAZ-C831NP5""","""Administrator""","""172.16.44.101""",network (type 3)
2021-07-15 23:35:24,4624,"""sralinux""","""Administrator""","""172.16.21.100""",network (type 3)
2021-07-15 23:35:25,4624,"""EC2AMAZ-37OM3IA""","""Administrator""","""172.16.21.100""",rdp (type 10)
2021-07-19 23:03:40,4624,"""sralinux""","""Administrator""","""172.16.21.100""",network (type 3)
2021-07-19 23:03:41,4624,"""EC2AMAZ-37OM3IA""","""Administrator""","""172.16.21.100""",rdp (type 10)
2021-07-19 23:04:08,4624,"""sralinux""","""Administrator""","""172.16.21.100""",network (type 3)
2021-07-19 23:04:09,4624,"""EC2AMAZ-37OM3IA""","""Administrator""","""172.16.21.100""",rdp (type 10)
2021-07-19 23:04:38,4624,"""sralinux""","""Administrator""","""172.16.21.100""",network (type 3)
2021-07-19 23:04:40,4624,"""EC2AMAZ-37OM3IA""","""Administrator""","""172.16.21.100""",rdp (type 10)
2021-07-19 23:05:06,4624,"""sralinux""","""Administrator""","""172.16.21.100""",network (type 3)
2021-07-19 23:05:07,4624,"""EC2AMAZ-37OM3IA""","""Administrator""","""172.16.21.100""",rdp (type 10)
2021-07-19 23:08:24,4624,"""sralinux""","""Administrator""","""172.16.21.100""",network (type 3)
2021-07-19 23:08:25,4624,"""EC2AMAZ-37OM3IA""","""Administrator""","""172.16.21.100""",rdp (type 10)
2021-07-19 23:09:01,4624,"""sralinux""","""Administrator""","""172.16.21.100""",network (type 3)
2021-07-19 23:09:03,4624,"""EC2AMAZ-37OM3IA""","""Administrator""","""172.16.21.100""",rdp (type 10)
2021-07-19 23:09:28,4624,"""sralinux""","""Administrator""","""172.16.21.100""",network (type 3)
2021-07-19 23:09:30,4624,"""EC2AMAZ-37OM3IA""","""Administrator""","""172.16.21.100""",rdp (type 10)
2021-07-19 23:09:55,4624,"""sralinux""","""Administrator""","""172.16.21.100""",network (type 3)
2021-07-19 23:09:57,4624,"""EC2AMAZ-37OM3IA""","""Administrator""","""172.16.21.100""",rdp (type 10)
2021-07-19 23:11:22,4624,"""sralinux""","""Administrator""","""172.16.21.100""",network (type 3)
2021-07-19 23:11:24,4624,"""EC2AMAZ-37OM3IA""","""Administrator""","""172.16.21.100""",rdp (type 10)
2021-07-19 23:16:52,4624,"""EC2AMAZ-C831NP5""","""CaptainMarvel""","""172.16.44.101""",network (type 3)
2021-07-19 23:34:05,4624,"""EC2AMAZ-C831NP5""","""CaptainMarvel""","""172.16.44.101""",network (type 3)
2021-07-19 23:51:14,4624,"""EC2AMAZ-C831NP5""","""CaptainMarvel""","""172.16.44.101""",network (type 3)
2021-07-19 23:53:11,4624,"""EC2AMAZ-C831NP5""","""Administrator""","""172.16.44.101""",network (type 3)
2021-07-19 23:53:53,4624,"""EC2AMAZ-C831NP5""","""CaptainMarvel""","""172.16.44.101""",network (type 3)
2021-07-20 00:01:59,4624,"""sralinux""","""Administrator""","""172.16.21.100""",network (type 3)
2021-07-20 00:02:01,4624,"""EC2AMAZ-37OM3IA""","""Administrator""","""172.16.21.100""",rdp (type 10)
2021-07-20 00:03:01,4624,"""EC2AMAZ-C831NP5""","""Administrator""","""172.16.44.101""",network (type 3)
2021-07-20 00:03:01,4624,"""EC2AMAZ-C831NP5""","""Administrator""","""172.16.44.101""",network (type 3)
2021-07-20 00:03:01,4624,"""EC2AMAZ-C831NP5""","""Administrator""","""172.16.44.101""",network (type 3)
2021-07-20 00:56:28,4624,"""EC2AMAZ-C831NP5""","""CaptainMarvel""","""172.16.44.101""",network (type 3)
2021-07-20 01:22:29,4624,"""sralinux""","""Administrator""","""172.16.21.100""",network (type 3)
2021-07-20 21:52:37,4624,"""EC2AMAZ-C831NP5""","""CaptainMarvel""","""172.16.44.101""",network (type 3)
2021-07-20 21:57:42,4624,"""EC2AMAZ-C831NP5""","""CaptainMarvel""","""172.16.44.101""",network (type 3)
2021-07-20 21:58:03,4624,"""EC2AMAZ-C831NP5""","""CaptainMarvel""","""172.16.44.101""",network (type 3)
2021-07-20 21:58:16,4624,"""EC2AMAZ-C831NP5""","""CaptainMarvel""","""172.16.44.101""",network (type 3)
2021-07-20 21:58:37,4624,"""EC2AMAZ-C831NP5""","""CaptainMarvel""","""172.16.44.101""",network (type 3)
2021-07-20 22:53:10,4624,"""sralinux""","""Administrator""","""172.16.21.100""",network (type 3)
2021-07-20 22:53:12,4624,"""EC2AMAZ-37OM3IA""","""Administrator""","""172.16.21.100""",rdp (type 10)
2021-07-20 23:11:23,4624,"""sralinux""","""Administrator""","""172.16.21.100""",network (type 3)
2021-07-20 23:49:10,4624,"""EC2AMAZ-C831NP5""","""CaptainMarvel""","""172.16.44.101""",network (type 3)
2021-07-20 23:51:52,4624,"""EC2AMAZ-C831NP5""","""Administrator""","""172.16.44.101""",network (type 3)
2021-07-20 23:52:13,4624,"""EC2AMAZ-C831NP5""","""Administrator""","""172.16.44.101""",network (type 3)
2021-07-20 23:53:20,4624,"""sralinux""","""Administrator""","""172.16.21.100""",network (type 3)
2021-07-20 23:53:22,4624,"""EC2AMAZ-37OM3IA""","""Administrator""","""172.16.21.100""",rdp (type 10)
2021-07-26 19:07:51,4624,"""DESKTOP-QVEB3DT""","""Administrator""","""172.16.21.100""",network (type 3)
2021-07-26 19:07:55,4624,"""DESKTOP-QVEB3DT""","""Administrator""","""172.16.21.100""",network (type 3)
2021-07-26 19:07:57,4624,"""EC2AMAZ-37OM3IA""","""Administrator""","""172.16.21.100""",rdp (type 10)
